cell,gene,expr_real,expr_wt,expr_ko,diff
435,FOXM1,0.0,0.0,0.0,0.0
436,FOXM1,2.0,1.0,0.0,-1.0
437,FOXM1,0.0,0.0,1.0,1.0
438,FOXM1,0.0,0.0,1.0,1.0
439,FOXM1,0.0,1.0,0.0,-1.0
440,FOXM1,0.0,0.0,0.0,0.0
441,FOXM1,1.0,0.0,0.0,0.0
442,FOXM1,9.0,0.0,0.0,0.0
443,FOXM1,0.0,0.0,0.0,0.0
444,FOXM1,0.0,0.0,0.0,0.0
445,FOXM1,0.0,1.0,0.0,-1.0
446,FOXM1,2.0,2.0,2.0,0.0
447,FOXM1,0.0,0.0,0.0,0.0
448,FOXM1,0.0,0.0,0.0,0.0
449,FOXM1,1.0,0.0,1.0,1.0
450,FOXM1,0.0,0.0,0.0,0.0
451,FOXM1,0.0,0.0,0.0,0.0
452,FOXM1,0.0,0.0,0.0,0.0
453,FOXM1,2.0,0.0,1.0,1.0
454,FOXM1,0.0,0.0,0.0,0.0
455,FOXM1,1.0,0.0,0.0,0.0
456,FOXM1,3.0,1.0,0.0,-1.0
457,FOXM1,0.0,0.0,0.0,0.0
458,FOXM1,0.0,0.0,1.0,1.0
459,FOXM1,0.0,0.0,1.0,1.0
460,FOXM1,1.0,0.0,0.0,0.0
461,FOXM1,0.0,0.0,0.0,0.0
462,FOXM1,1.0,0.0,1.0,1.0
463,FOXM1,0.0,0.0,0.0,0.0
464,FOXM1,1.0,1.0,0.0,-1.0
465,FOXM1,0.0,0.0,0.0,0.0
466,FOXM1,0.0,1.0,3.0,2.0
467,FOXM1,0.0,1.0,0.0,-1.0
468,FOXM1,2.0,5.0,1.0,-4.0
469,FOXM1,0.0,0.0,0.0,0.0
470,FOXM1,1.0,0.0,0.0,0.0
471,FOXM1,0.0,1.0,2.0,1.0
472,FOXM1,1.0,0.0,0.0,0.0
473,FOXM1,0.0,0.0,0.0,0.0
474,FOXM1,0.0,0.0,0.0,0.0
475,FOXM1,0.0,0.0,0.0,0.0
476,FOXM1,0.0,1.0,2.0,1.0
477,FOXM1,2.0,0.0,0.0,0.0
478,FOXM1,2.0,3.0,0.0,-3.0
479,FOXM1,0.0,1.0,0.0,-1.0
480,FOXM1,0.0,1.0,1.0,0.0
481,FOXM1,2.0,0.0,0.0,0.0
482,FOXM1,0.0,0.0,0.0,0.0
483,FOXM1,0.0,0.0,0.0,0.0
484,FOXM1,0.0,0.0,0.0,0.0
485,FOXM1,2.0,0.0,0.0,0.0
486,FOXM1,1.0,0.0,2.0,2.0
487,FOXM1,0.0,0.0,0.0,0.0
488,FOXM1,0.0,0.0,0.0,0.0
489,FOXM1,0.0,1.0,0.0,-1.0
490,FOXM1,1.0,0.0,1.0,1.0
491,FOXM1,0.0,0.0,2.0,2.0
492,FOXM1,0.0,0.0,0.0,0.0
493,FOXM1,1.0,0.0,0.0,0.0
494,FOXM1,3.0,1.0,0.0,-1.0
495,FOXM1,0.0,2.0,0.0,-2.0
496,FOXM1,2.0,0.0,0.0,0.0
497,FOXM1,1.0,0.0,0.0,0.0
498,FOXM1,0.0,0.0,0.0,0.0
499,FOXM1,1.0,3.0,2.0,-1.0
500,FOXM1,0.0,0.0,0.0,0.0
501,FOXM1,0.0,0.0,0.0,0.0
502,FOXM1,0.0,1.0,6.0,5.0
503,FOXM1,0.0,3.0,1.0,-2.0
504,FOXM1,0.0,0.0,0.0,0.0
505,FOXM1,0.0,1.0,0.0,-1.0
506,FOXM1,0.0,1.0,0.0,-1.0
507,FOXM1,0.0,1.0,0.0,-1.0
508,FOXM1,1.0,0.0,1.0,1.0
509,FOXM1,0.0,2.0,0.0,-2.0
510,FOXM1,0.0,0.0,0.0,0.0
511,FOXM1,0.0,1.0,0.0,-1.0
512,FOXM1,2.0,0.0,1.0,1.0
513,FOXM1,1.0,0.0,0.0,0.0
514,FOXM1,0.0,0.0,0.0,0.0
515,FOXM1,0.0,2.0,2.0,0.0
516,FOXM1,0.0,1.0,1.0,0.0
517,FOXM1,0.0,0.0,0.0,0.0
518,FOXM1,0.0,5.0,0.0,-5.0
519,FOXM1,0.0,1.0,1.0,0.0
520,FOXM1,0.0,0.0,1.0,1.0
521,FOXM1,0.0,5.0,0.0,-5.0
522,FOXM1,0.0,0.0,0.0,0.0
523,FOXM1,1.0,0.0,0.0,0.0
524,FOXM1,4.0,0.0,0.0,0.0
525,FOXM1,0.0,0.0,0.0,0.0
526,FOXM1,2.0,0.0,2.0,2.0
527,FOXM1,0.0,0.0,0.0,0.0
528,FOXM1,0.0,1.0,0.0,-1.0
529,FOXM1,2.0,2.0,0.0,-2.0
530,FOXM1,0.0,0.0,0.0,0.0
531,FOXM1,0.0,1.0,0.0,-1.0
532,FOXM1,0.0,0.0,0.0,0.0
533,FOXM1,1.0,0.0,1.0,1.0
534,FOXM1,0.0,1.0,0.0,-1.0
535,FOXM1,0.0,0.0,0.0,0.0
536,FOXM1,0.0,6.0,0.0,-6.0
537,FOXM1,1.0,0.0,0.0,0.0
538,FOXM1,1.0,0.0,1.0,1.0
539,FOXM1,0.0,2.0,1.0,-1.0
540,FOXM1,1.0,1.0,0.0,-1.0
541,FOXM1,0.0,0.0,1.0,1.0
542,FOXM1,0.0,3.0,0.0,-3.0
543,FOXM1,0.0,0.0,0.0,0.0
544,FOXM1,0.0,0.0,0.0,0.0
545,FOXM1,0.0,0.0,0.0,0.0
546,FOXM1,2.0,3.0,1.0,-2.0
