gene,umap_x,umap_y,cluster
LYPLAL1,0.2213249,-7.4147053,1
TMEM30A,22.799486,-0.50706536,18
NDUFAF2,7.4828234,21.545097,17
PTPRD,6.680736,-7.412369,1
MFN1,5.4949985,-10.840803,1
TMEM63A,5.4547415,-2.0239627,13
PTPN4,5.5738707,-6.6036396,13
JARID2,13.530742,-7.7811947,18
ZFHX3,5.385414,-7.815619,1
CDK12,12.5189085,21.476017,11
ATXN7L3,5.7747927,-10.887258,1
IFT172,6.66113,-1.5607889,13
DIAPH3,5.2330685,7.570196,9
SIRT5,4.986014,3.8625662,9
CEP76,6.083311,7.085432,6
DPF2,15.18353,19.58846,11
USP13,6.77416,-10.975556,1
UBXN8,16.495766,5.7162805,7
CBWD1,0.034175366,-7.581633,1
TTC31,1.1385766,-7.3560596,1
POLD3,13.441182,-7.7304406,18
PUS10,5.8962326,-1.5152826,13
RNF139-AS1,7.000524,8.232736,6
TRPS1,16.87315,5.3566017,7
LAMP2,11.00464,21.765228,17
SEC31A,8.436703,22.096622,17
SEC22B,10.534935,-8.577611,1
LIG1,-6.828968,-0.124644734,19
KIAA1328,6.058929,3.4008112,9
CDT1,9.616719,2.446005,18
FKBP2,7.431171,21.610903,17
TBC1D9B,17.915089,-6.75818,18
PARP14,6.0877414,-3.3316803,13
DHX32,2.0347707,-7.2579746,1
ATAT1,1.6406698,-7.1975617,1
RETSAT,3.5709705,-2.1902354,13
BICD2,16.888464,4.4336452,7
VPS45,5.3390336,-8.480061,1
MTREX,14.808385,18.27018,11
DHX57,4.7900157,-10.1132145,1
DNAJC16,0.043478332,-7.7171955,1
TRIM56,11.22178,-8.317787,1
RANBP9,-3.7563536,0.40003586,2
PSD3,16.846489,-7.1498976,18
ZNF395,13.219948,11.960657,15
DHX30,12.037909,16.89612,0
RIC8B,3.0358503,-1.4034443,13
FAT1,14.849334,18.91227,11
IPO7,1.2069741,16.52811,3
ARMCX5,7.2840424,-10.579708,1
ERRFI1,17.307322,7.028584,7
SETD4,14.351627,-7.713695,18
PARP6,20.544123,1.3607626,7
UBR4,15.021804,12.402161,15
MROH6,6.811759,9.760155,5
ARIH1,20.651926,11.774085,15
CCDC88C,7.04686,-11.077244,1
MROH8,6.516782,10.285494,5
MSN,11.969857,21.51742,17
INPP4B,5.607167,-3.164344,13
TNRC6A,12.293461,11.839637,0
LMTK2,6.389268,4.355073,9
ALG13,15.206131,-7.4077716,18
TRIM41,5.6443515,-6.8241725,13
PSIP1,14.844293,20.301006,11
CLK3,18.356117,12.868242,15
PON2,12.452426,16.876143,11
EXOC7,20.262608,11.796664,15
GNL2,9.919972,12.153599,0
DHX34,8.490782,-1.162254,13
PRDM16,6.7524543,8.022742,6
EPM2AIP1,16.333939,13.018581,15
MACF1,8.491659,21.793474,17
YY1AP1,20.52912,1.3046054,7
FNDC3A,13.978723,20.920147,11
WDR41,20.730822,-5.431875,18
WDR73,22.830402,-4.5531855,18
SPRTN,4.300308,-8.43739,1
ATXN1L,9.124115,-7.0214972,18
