x,y,cell_type,prolif_score_wt,prolif_score_ko,qsc_score_wt,qsc_score_ko,delta_prolif,delta_qsc
-2.3310232,10.961182,quiescent,1.27,1.04,3.14,3.07,-0.2299999999999999,-0.0700000000000002
3.1138096,4.3212028,quiescent,2.18,2.02,4.07,4.24,-0.1600000000000001,0.1699999999999999
-0.068303555,5.157586,quiescent,1.72,1.43,4.02,3.59,-0.29,-0.4299999999999997
-2.1864045,12.051776,quiescent,0.86,0.74,3.85,4.55,-0.12,0.6999999999999997
-0.07738032,6.9049497,quiescent,0.59,0.88,3.95,4.08,0.29,0.1299999999999999
-1.7962981,11.856317,quiescent,0.51,0.38,5.35,3.57,-0.13,-1.7799999999999998
0.9159692,3.0065863,quiescent,0.85,0.78,5.27,3.43,-0.0699999999999999,-1.8399999999999992
-0.4552197,8.028112,quiescent,1.16,0.99,3.24,3.56,-0.1699999999999999,0.3199999999999998
0.81507593,8.764545,quiescent,1.86,2.1,3.94,4.96,0.24,1.02
0.62949514,4.931027,quiescent,0.62,0.76,3.12,3.61,0.14,0.4899999999999997
0.3240598,5.9016204,quiescent,1.41,1.6,4.22,3.66,0.1900000000000001,-0.5599999999999996
-1.1009963,5.0813847,quiescent,1.02,0.74,3.51,3.78,-0.28,0.27
-0.023635902,5.716217,quiescent,0.69,1.1,4.51,4.27,0.4100000000000001,-0.2400000000000002
0.75887114,8.632149,quiescent,0.78,0.58,4.64,4.05,-0.2,-0.5899999999999999
0.4841842,4.884199,quiescent,1.04,1.1,3.04,4.62,0.06,1.58
1.7408712,7.1213217,quiescent,0.81,0.76,3.54,3.57,-0.05,0.0299999999999998
-1.214626,7.14604,quiescent,0.71,0.65,4.49,4.41,-0.0599999999999999,-0.08
-2.0220215,10.953902,quiescent,1.04,1.12,3.68,3.47,0.08,-0.2099999999999999
-1.5305203,8.01554,quiescent,1.04,1.13,3.72,3.45,0.0899999999999998,-0.27
-2.448847,9.267614,quiescent,1.56,1.5,3.54,3.07,-0.06,-0.4700000000000002
-1.8667759,8.560882,quiescent,0.86,1.01,2.73,3.87,0.15,1.14
0.8654681,4.8611846,quiescent,1.84,1.84,3.85,4.16,0.0,0.31
0.451735,6.920214,quiescent,2.1,1.92,3.65,3.97,-0.1800000000000001,0.3200000000000003
-2.6611383,12.183389,quiescent,1.35,1.33,4.12,3.85,-0.02,-0.27
-0.32640952,8.874232,quiescent,3.09,2.07,3.61,3.96,-1.02,0.3500000000000001
-1.5785753,11.009258,quiescent,1.25,0.96,3.65,4.18,-0.29,0.5299999999999998
2.442448,5.9496408,quiescent,1.08,1.11,3.43,3.63,0.03,0.1999999999999997
-0.18827234,6.5843496,quiescent,0.67,0.82,3.85,3.81,0.1499999999999999,-0.04
-0.62567866,4.9741645,quiescent,0.8,0.64,3.5,3.24,-0.16,-0.2599999999999998
-1.6793451,4.1903443,quiescent,0.81,0.74,3.88,2.95,-0.07,-0.9299999999999996
0.8518319,9.0678835,quiescent,0.96,1.13,3.11,3.39,0.1699999999999999,0.2800000000000002
-0.401373,5.100421,quiescent,0.9,0.89,3.91,4.15,-0.01,0.2400000000000002
-1.5954566,10.096691,quiescent,0.71,0.53,3.51,3.92,-0.1799999999999999,0.4100000000000001
3.2485068,4.4003973,quiescent,2.27,2.08,4.17,3.34,-0.1899999999999999,-0.8300000000000001
-1.608359,7.098421,quiescent,1.24,1.19,4.11,4.31,-0.05,0.1999999999999993
1.0182459,6.6235228,quiescent,1.0,0.73,4.34,3.86,-0.27,-0.48
-0.6512449,9.219732,quiescent,0.84,0.69,3.65,3.9,-0.15,0.25
-1.1149616,7.081689,quiescent,0.58,0.75,4.95,4.01,0.17,-0.9400000000000004
-0.60540694,9.09201,quiescent,1.36,1.41,4.38,3.99,0.0499999999999998,-0.3899999999999997
-0.050013598,6.5738435,quiescent,0.89,0.7,4.26,4.16,-0.19,-0.0999999999999996
-2.345383,7.786889,quiescent,0.75,1.14,3.31,4.6,0.3899999999999999,1.2899999999999996
-1.9740812,9.399693,quiescent,0.87,0.92,3.75,3.75,0.05,0.0
-1.5386056,7.4761615,quiescent,1.41,1.29,4.59,5.65,-0.1199999999999998,1.0600000000000005
-1.0641507,5.3808765,quiescent,2.01,2.31,4.02,3.36,0.3000000000000002,-0.6599999999999997
0.48815545,10.068742,quiescent,1.7,2.17,4.07,4.07,0.47,0.0
0.39050117,8.236261,quiescent,1.95,2.45,3.84,3.97,0.5000000000000002,0.1300000000000003
-0.7431201,8.097174,quiescent,0.84,0.88,3.78,4.14,0.04,0.3599999999999999
-0.13621391,8.270878,quiescent,0.77,0.77,3.1,3.83,0.0,0.73
0.055084318,7.2105703,quiescent,0.47,0.5,3.61,3.45,0.03,-0.1599999999999997
0.11044749,3.154488,quiescent,0.65,0.78,3.84,4.33,0.13,0.4900000000000002
-2.5898328,7.2096367,quiescent,0.46,0.69,4.51,3.79,0.2299999999999999,-0.7199999999999998
-2.3455584,10.507322,quiescent,2.45,2.37,4.27,3.6,-0.08,-0.6699999999999995
1.4322314,8.525296,quiescent,2.06,2.2,3.58,3.32,0.1400000000000001,-0.2600000000000002
-2.3616943,6.564619,quiescent,1.11,1.21,4.57,3.58,0.0999999999999998,-0.9900000000000002
-2.764335,11.407096,quiescent,0.68,0.52,3.52,3.74,-0.16,0.2200000000000002
1.2692934,6.0565653,quiescent,0.78,1.07,3.27,4.75,0.29,1.48
-0.31566927,7.869658,quiescent,0.92,0.57,4.06,3.68,-0.3500000000000001,-0.3799999999999994
-0.8483869,8.198594,quiescent,0.68,0.9,4.31,4.22,0.2199999999999999,-0.0899999999999998
-2.0568502,8.785862,quiescent,2.51,2.54,4.36,3.38,0.0300000000000002,-0.9800000000000004
-2.302598,8.669764,quiescent,2.19,1.91,4.07,4.0,-0.28,-0.0700000000000002
-0.75346553,5.3229003,quiescent,0.96,0.95,5.37,3.74,-0.01,-1.63
1.3631241,4.277067,quiescent,0.64,0.82,3.02,3.15,0.1799999999999999,0.1299999999999999
-0.5398268,4.924309,quiescent,0.7,0.82,4.32,3.95,0.12,-0.3700000000000001
-1.4737066,8.952811,quiescent,1.3,1.2,4.02,3.96,-0.1,-0.0599999999999996
-0.45832434,7.1963887,quiescent,0.66,0.72,4.06,4.72,0.0599999999999999,0.6600000000000001
-0.3153738,8.436709,quiescent,1.07,2.28,3.65,3.7,1.2099999999999995,0.0500000000000002
0.23734419,10.313094,quiescent,0.45,0.55,3.47,4.31,0.1,0.8399999999999994
2.0550256,5.926381,quiescent,0.8,0.88,3.82,4.04,0.0799999999999999,0.2200000000000002
-1.5305225,8.218622,quiescent,0.97,0.93,3.78,3.07,-0.0399999999999999,-0.71
0.47201464,6.172211,quiescent,1.18,1.01,4.08,4.11,-0.1699999999999999,0.0300000000000002
-1.6220897,7.272578,quiescent,2.57,2.65,4.71,3.56,0.08,-1.15
