x,y,cell_type,FOXM1_wt,FOXM1_ko,NUSAP1_wt,NUSAP1_ko,PABPN1_wt,PABPN1_ko
-0.292692,6.8943796,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
1.854331,7.425421,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
-1.8443626,11.398763,quiescent,3.0,0.0,0.0,0.0,1.0,0.0
-0.8124309,10.493997,quiescent,0.0,0.0,3.0,0.0,0.0,0.0
-1.0524927,9.75045,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
2.2118254,7.195489,quiescent,0.0,0.0,0.0,0.0,5.0,0.0
-2.1301596,8.614638,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
0.36130282,5.0823607,quiescent,0.0,0.0,0.0,0.0,0.0,37.0
-2.3437006,9.029339,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.4750388,4.9296584,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
0.91456205,5.868767,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.75481075,7.9001985,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.1282575,12.163008,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.13556395,9.705767,quiescent,1.0,0.0,7.0,0.0,0.0,0.0
0.19079176,6.344369,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.33295196,4.0515957,quiescent,2.0,0.0,1.0,3.0,0.0,1.0
-0.16301765,8.272713,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
1.1759961,5.889018,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.8289287,7.5578637,quiescent,0.0,0.0,1.0,0.0,0.0,0.0
-2.755122,10.231937,quiescent,3.0,0.0,0.0,0.0,0.0,0.0
0.67526627,8.759646,quiescent,0.0,0.0,0.0,0.0,0.0,2.0
-1.4400861,3.9432943,quiescent,0.0,0.0,0.0,0.0,40.0,0.0
-1.1476488,6.400418,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
-0.47734588,6.7559767,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.0473464,6.763583,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.6072802,6.017868,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.3193051,7.831676,quiescent,0.0,0.0,0.0,0.0,27.0,0.0
0.22963986,4.9423695,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.41979656,5.306389,quiescent,0.0,0.0,5.0,0.0,0.0,0.0
-1.124003,8.942371,quiescent,2.0,0.0,3.0,0.0,0.0,0.0
-2.2383726,5.1297994,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
0.6394508,7.847647,quiescent,1.0,0.0,1.0,0.0,0.0,0.0
2.1966565,7.060899,quiescent,3.0,0.0,0.0,4.0,0.0,0.0
-1.2555287,7.3077593,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.4864445,5.5934305,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
0.54594785,4.311751,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.5985813,7.261349,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.3365502,9.376444,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
1.6757319,4.796314,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
-1.0076548,4.1930633,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
1.7289283,9.209365,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
-0.10367843,8.709926,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
0.66632175,4.1392336,quiescent,1.0,0.0,4.0,0.0,0.0,0.0
-1.6234237,10.564943,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.3167455,8.786786,quiescent,1.0,0.0,0.0,0.0,0.0,22.0
1.6561033,2.5661302,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.9918242,9.88589,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.5115334,7.2676134,quiescent,2.0,0.0,1.0,0.0,0.0,0.0
-1.7341477,7.376573,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-3.0741367,9.255,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
-0.28737125,5.9714346,quiescent,1.0,0.0,3.0,4.0,0.0,0.0
-1.9897523,2.6778765,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.9628334,8.082894,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
-2.0198944,10.554214,quiescent,0.0,0.0,0.0,0.0,0.0,1.0
-0.843126,7.8597875,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.5130663,6.2362375,quiescent,0.0,0.0,0.0,0.0,14.0,40.0
-2.2665985,8.763148,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
1.4596593,1.380738,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.9177154,7.5888476,quiescent,0.0,0.0,2.0,1.0,0.0,0.0
-2.4919198,8.894309,quiescent,2.0,1.0,3.0,6.0,0.0,0.0
1.062859,4.752194,quiescent,0.0,0.0,0.0,0.0,27.0,0.0
0.13702087,4.680394,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.9506243,8.561651,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
-2.0603704,12.035293,quiescent,3.0,0.0,0.0,0.0,0.0,0.0
1.9237766,3.7479837,quiescent,3.0,0.0,4.0,2.0,0.0,0.0
-1.3526419,7.4698563,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.6806252,5.276513,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.0171824,7.1867313,quiescent,0.0,1.0,2.0,0.0,0.0,0.0
-2.7115858,9.68796,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
1.6928473,6.713391,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.2466235,7.53453,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
-1.4867505,9.350658,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.5233283,9.044698,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.7348962,9.31827,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
1.311733,6.0243907,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
-1.8784992,4.958676,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
