gene,cell_type,mean_wt,mean_ko,log2fc
DDB2,quiescent,0.3832077502691066,0.3916038751345533,0.03126830171700797
NCAPG2,quiescent,0.3597416576964478,0.3722282023681378,0.049226135446564796
CKS1B,quiescent,1.5629709364908504,1.572443487621098,0.008717217095548582
RTKN2,quiescent,0.29472551130247576,0.32594187298170074,0.14524275825901975
SPC24,quiescent,0.30505920344456405,0.31819160387513457,0.06080651103294775
HIST1H2BH,quiescent,0.18428417653390744,0.18234660925726587,-0.015248826985763379
NCAPH,quiescent,0.3397201291711518,0.32960172228202367,-0.04362292238330138
HMGB2,quiescent,2.623896663078579,2.614639397201292,-0.005098915161311359
HIST1H1A,quiescent,0.16620021528525297,0.15328310010764262,-0.11672360557018305
CHEK2,quiescent,0.3638320775026911,0.3543595263724435,-0.038058910641923405
AZI2,quiescent,0.816361679224973,0.8391819160387514,0.039775126311573976
TROAP,quiescent,0.43057050592034446,0.43358449946178684,0.010063683321405992
VAMP1,quiescent,0.20279870828848223,0.2015069967707212,-0.009218529983776536
COX7B,quiescent,4.168783638320775,4.191603875134553,0.007875884744917062
AL031777.3,quiescent,0.23745963401506998,0.21334768568353069,-0.1544758277182544
TRIM59,quiescent,0.39332615715823466,0.3709364908503768,-0.08455393218114428
LRRC45,quiescent,0.2264800861141012,0.23358449946178686,0.04456033784579505
PIDD1,quiescent,0.3519913885898816,0.3689989235737352,0.06807647353814326
PITHD1,quiescent,0.7853606027987083,0.761248654467169,-0.044987454715125136
CCSAP,quiescent,0.48675995694294943,0.503767491926803,0.04954753761917543
PTP4A1,quiescent,0.8232508073196986,0.8404736275565123,0.02987052954622705
SCMH1,quiescent,0.28805166846071045,0.27621097954790097,-0.060556945337074376
PFDN1,quiescent,0.8019375672766416,0.8081808396124865,0.011188224580090446
SGO2,quiescent,0.3573735199138859,0.37351991388589884,0.0637524210568288
H2AFX,quiescent,1.0236813778256189,1.0503767491926803,0.037140142142283485
LIN9,quiescent,0.3610333692142088,0.33756727664155006,-0.09695712917135366
CDK5RAP3,quiescent,0.53756727664155,0.5601722282023681,0.059425140681284384
NCAPD2,quiescent,1.1709364908503768,1.197631862217438,0.032521679760835066
ANP32E,quiescent,1.2195909580193758,1.2251883745963401,0.006606223419349423
SGCE,quiescent,0.860064585575888,0.8553283100107643,-0.007966709717951818
NEK2,quiescent,0.4157158234660926,0.3767491926803014,-0.14199324187202206
ZNF230,quiescent,0.21765339074273413,0.21442411194833155,-0.021565349735108326
RNF219,quiescent,0.4729817007534984,0.4667384284176534,-0.01917011302860409
CDCA5,quiescent,0.4757804090419806,0.47728740581270185,0.004562400578939323
LMO4,quiescent,0.7330462863293864,0.7026910656620021,-0.06101374084291969
YPEL1,quiescent,0.36490850376749195,0.3418729817007535,-0.0940743606143551
DNAJB1,intermediate,4.353113983548766,4.5066588327457895,0.050010441260076144
HNRNPA1,intermediate,17.536819428123778,17.800039169604386,0.02149329931789027
VIM,intermediate,42.33470426948688,42.52448100274187,0.0064528172760672
HBA2,intermediate,0.48021934978456715,0.4835487661574618,0.009967857431315072
EIF1,intermediate,16.109087348217784,16.154524089306697,0.004063488335895585
EEF1B2,intermediate,25.46650998824912,25.483548766157462,0.000964935543061325
CHCHD7,intermediate,0.6353309831570702,0.6243634939287113,-0.025122190186913296
EMP3,intermediate,3.1752839796318058,3.162749706227967,-0.005706235891429147
H1F0,intermediate,0.9508421464943204,0.9853113983548766,0.05137389392586866
LDHB,intermediate,10.839992166079123,10.834900117508813,-0.0006778601949857815
