gene,umap_x,umap_y,cluster
RRAD,25.004513,2.4136066,8
NHP2,20.325583,5.879024,8
AC104779.1,23.027788,4.867632,8
MAS1,25.803478,5.6277575,4
AL121652.1,26.2345,7.1033964,0
RAD21L1,26.15679,3.130369,4
SERPINE3,24.7787,6.8536386,0
AC023830.2,26.125643,5.209782,0
AC007114.2,26.3005,4.611506,4
AC091948.1,26.9105,5.9811435,0
MT-ATP8,23.53007,6.928793,1
ULBP3,23.089125,5.8949175,8
XYLT2,23.201271,6.564211,2
KRT17,20.121658,6.1740108,8
NRIP1,27.922915,4.950666,7
AC055764.1,22.78846,2.5381753,8
USP46,24.773985,7.7194543,0
MKI67,22.20483,10.694681,8
AC100830.3,26.004747,7.0517883,0
AC006115.1,26.583225,3.8265953,4
RPRD1B,21.580637,6.8861322,8
ESR1,25.224123,5.171383,7
CASC3,27.198168,6.6232862,7
MYC,21.624586,2.7485478,6
LDB3,21.981915,4.295048,8
STXBP5-AS1,24.003246,8.4498205,8
AGPAT3,23.030758,7.0484147,2
ACAD11,27.498869,5.7058907,7
AC015849.1,25.909037,5.7624407,7
HIST2H4A,25.427923,5.670336,7
AL358333.3,25.047075,6.1081495,8
RTTN,24.094585,8.148761,8
LSMEM1,26.634848,7.88221,5
AL133346.1,23.612486,4.1812177,4
GRM4,27.646385,5.2849407,7
SEC24D,23.306112,5.768687,2
TMTC3,24.46141,8.550819,2
AC012173.1,24.459307,5.5326533,8
GOLGA6L4,26.898224,4.089538,7
ZKSCAN1,24.682388,6.0603123,9
AL159169.3,25.374039,4.369397,4
DNMT1,21.027271,7.056992,8
POGZ,24.448858,8.511722,8
DDIT4L,25.21773,5.7422757,0
UBE2O,23.546806,5.149553,4
AC115989.2,25.676666,6.3548856,0
AC115102.1,26.341871,3.9165154,4
SLC19A2,26.47307,5.870313,0
ADRB2,27.121468,4.9795175,7
GALK2,22.920265,4.6809845,6
ZMYM3,22.816042,4.085975,8
AC069029.1,24.853762,5.7592144,0
PWAR6,23.462427,4.4734373,3
RENBP,22.93498,3.4190984,6
SLC4A9,23.86166,5.514674,7
HIST3H2A,22.069723,2.4942923,6
HSPA5,22.720514,3.1457431,8
CHSY3,25.78672,5.415401,0
TRIB1,22.241573,2.4874265,4
AC018462.1,24.907314,5.329177,4
HTRA1,21.626926,6.191437,8
AC010542.4,28.032322,6.3076253,7
CSNK1G3,24.797598,6.1607533,7
BICDL1,23.714014,5.269696,8
ITSN1,26.069645,7.5004587,5
AP3B1,22.761477,8.084416,2
SLC26A11,22.3389,2.736935,6
RASGRP1,25.846113,2.8131988,4
USP3-AS1,26.494268,4.1170173,3
CCBE1,19.977638,5.3126297,8
BORA,26.087282,2.9879968,8
CYTOR,22.798347,7.6524057,8
ITPK1-AS1,27.984428,5.6053925,7
ITFG2-AS1,22.745754,4.3203497,8
AL121906.2,24.046537,5.173185,4
CREB1,22.660849,7.104176,2
CCDC152,24.293127,2.920557,4
ATP1A4,23.325554,2.6102142,8
SESN1,23.948835,7.67839,0
CD226,24.925982,5.895889,0
AC013448.1,26.36787,5.098024,0
GAS2L3,26.609148,3.3741574,8
PALMD,24.896336,2.871354,7
MUC20-OT1,25.30462,8.409895,1
C6orf47-AS1,23.265564,8.43238,8
