x,y,population,cell_type,time
6.6774063,2.2187228,proliferative,proliferative,64.0
0.36422163,0.3333995,intermediate,intermediate,32.0
-1.697397,4.8899693,intermediate,quiescent,16.0
4.6927443,2.5956395,proliferative,proliferative,64.0
2.5465722,-0.73702097,intermediate,intermediate,48.0
5.378268,1.8305457,proliferative,proliferative,64.0
1.2279725,0.58453625,intermediate,intermediate,32.0
-1.767333,5.2982306,intermediate,quiescent,32.0
-1.1435115,1.8735828,intermediate,intermediate,32.0
-0.38180667,9.209266,quiescent,quiescent,0.0
8.290089,8.383277,proliferative,proliferative,80.0
5.3447785,4.4654202,proliferative,proliferative,80.0
2.2598193,1.8315388,intermediate,intermediate,32.0
1.1442957,0.40543634,intermediate,intermediate,64.0
-2.3469856,12.288947,intermediate,quiescent,0.0
-1.3373291,3.803079,intermediate,quiescent,48.0
5.5438733,5.992679,proliferative,proliferative,64.0
-0.20608646,4.5390663,intermediate,intermediate,16.0
2.8530777,1.239129,intermediate,intermediate,48.0
-2.0509565,8.345287,quiescent,quiescent,0.0
1.6899059,0.855486,intermediate,intermediate,48.0
2.4440084,-0.7997781,intermediate,intermediate,48.0
-3.0068467,9.471039,quiescent,quiescent,0.0
1.3406477,0.74925476,intermediate,intermediate,48.0
-0.8064037,2.7024977,intermediate,intermediate,32.0
7.145833,6.5209208,proliferative,proliferative,64.0
5.443835,4.272525,proliferative,proliferative,64.0
0.23106809,0.90360785,intermediate,intermediate,32.0
5.719334,7.7061496,proliferative,proliferative,80.0
8.021503,6.1529284,proliferative,proliferative,80.0
6.773981,3.2470253,proliferative,proliferative,80.0
-2.3956704,12.096109,quiescent,quiescent,0.0
0.8415169,8.151955,quiescent,quiescent,0.0
-0.6278536,1.5212137,intermediate,intermediate,32.0
0.22750397,5.1769037,intermediate,quiescent,16.0
2.7492774,1.7322457,intermediate,intermediate,48.0
7.1678996,2.6213288,proliferative,proliferative,80.0
-0.25794166,1.178661,intermediate,intermediate,32.0
0.84179634,7.653113,quiescent,quiescent,0.0
-1.8839989,3.511952,intermediate,intermediate,32.0
